Column 1,Compte_Twitter,geoloc,lat,long,ville,nbre_oeuvre
Lironcourt,NON,"47.970277777778,5.8941666666667",47.970277777778,5.8941666666667,Lironcourt,1
Liverdun,NON,"48.750277777778,6.0619444444444",48.750277777778,6.0619444444444,Liverdun,1
Lorient,OUI,"47.745833333333,-3.3663888888889",47.745833333333,-3.3663888888889,Lorient,1
Lourdes,NON,"43.094166666666666,-0.04694444444444444",43.094166666666666,-0.04694444444444444,Lourdes,1
Luzancy,NON,"48.973055555556,3.1875",48.973055555556,3.1875,Luzancy,1
Magny-les-Hameaux,NON,"48.723888888889,2.0841666666667",48.723888888889,2.0841666666667,Magny-les-Hameaux,1
Maincy,NON,"48.549722222222,2.7019444444444",48.549722222222,2.7019444444444,Maincy,1
La Mouche,NON,"48.793611111111,-1.3497222222222",48.793611111111,-1.3497222222222,Manche (50),1
Marcoussis,NON,"48.641666666667,2.2297222222222",48.641666666667,2.2297222222222,Marcoussis,1
Mareil-le-Guyon,NON,"48.789722222222,1.8472222222222",48.789722222222,1.8472222222222,Mareil-le-Guyon,1
Ménil-Hubert-en-Exmes,NON,"48.813333333333,0.22527777777778",48.813333333333,0.22527777777778,Ménil-Hubert-en-Exmes,1
Méry-sur-Oise,NON,"49.063611111111,2.1863888888889",49.063611111111,2.1863888888889,Méry-sur-Oise,1
Mézin,NON,"44.056666666667,0.25833333333333",44.056666666667,0.25833333333333,Mézin,1
Millemont,NON,"48.809444444444,1.7444444444444",48.809444444444,1.7444444444444,Millemont,1
Montgeron,OUI,"48.7075,2.4552777777778",48.7075,2.4552777777778,Montgeron,1
Montmorency,OUI,"48.989722222222,2.3219444444444",48.989722222222,2.3219444444444,Montmorency,1
Auray,NON,"47.667777777778,-2.9825",47.667777777778,-2.9825,Morbihan (56),1
Crozon,NON,"48.245277777778,-4.4888888888889",48.245277777778,-4.4888888888889,Morgat,1
Mortain,NON,"48.647777777778,-0.94083333333333",48.647777777778,-0.94083333333333,Mortain,1
Moustiers-Sainte-Marie,NON,"43.8475,6.2211111111111",43.8475,6.2211111111111,Moustiers-Sainte-Marie,1
Nemours,NON,"48.268611111111,2.6936111111111",48.268611111111,2.6936111111111,Nemours,1
Nesles-la-Vallée,NON,"49.13,2.1705555555556",49.13,2.1705555555556,Nesles-la-Vallée,1
Nevers,OUI,"46.9925,3.1566666666667",46.9925,3.1566666666667,Nevers,1
Optevoz,NON,"45.7525,5.3313888888889",45.7525,5.3313888888889,Optevoz,1
Orcines,NON,"45.7825,3.0122222222222",45.7825,3.0122222222222,Orcines,1
Orléans,OUI,"47.902222222222,1.9041666666667",47.902222222222,1.9041666666667,Orléans,1
Ottrott,NON,"48.457777777778,7.4255555555556",48.457777777778,7.4255555555556,Ottrott,1
Palavas-les-Flots,NON,"43.529444444444,3.9305555555556",43.529444444444,3.9305555555556,Palavas-les-Flots,1
